2023-03-25 17:53:07,949 INFO    MainThread:38910 [wandb_setup.py:_flush():76] Configure stats pid to 38910
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_setup.py:_flush():76] Loading settings from /home/chengh-wang/.config/wandb/settings
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_setup.py:_flush():76] Loading settings from /home/chengh-wang/Documents/git/BBQ/RPP/RL/wandb/settings
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RPP/RL/train_emlp_v2.py', 'program': '/home/chengh-wang/Documents/git/BBQ/RPP/RL/train_emlp_v2.py'}
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_init.py:_log_setup():506] Logging user logs to /home/chengh-wang/Documents/git/BBQ/RPP/RL/wandb/run-20230325_175307-i9a27orr/logs/debug.log
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_init.py:_log_setup():507] Logging internal logs to /home/chengh-wang/Documents/git/BBQ/RPP/RL/wandb/run-20230325_175307-i9a27orr/logs/debug-internal.log
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_init.py:init():546] calling init triggers
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_init.py:init():602] starting backend
2023-03-25 17:53:07,950 INFO    MainThread:38910 [wandb_init.py:init():606] setting up manager
2023-03-25 17:53:07,954 INFO    MainThread:38910 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-25 17:53:07,957 INFO    MainThread:38910 [wandb_init.py:init():613] backend started and connected
2023-03-25 17:53:07,962 INFO    MainThread:38910 [wandb_init.py:init():701] updated telemetry
2023-03-25 17:53:08,001 INFO    MainThread:38910 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-25 17:53:08,340 INFO    MainThread:38910 [wandb_run.py:_on_init():2133] communicating current version
2023-03-25 17:53:08,424 INFO    MainThread:38910 [wandb_run.py:_on_init():2142] got version response 
2023-03-25 17:53:08,424 INFO    MainThread:38910 [wandb_init.py:init():789] starting run threads in backend
2023-03-25 17:53:13,589 INFO    MainThread:38910 [wandb_run.py:_console_start():2114] atexit reg
2023-03-25 17:53:13,589 INFO    MainThread:38910 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-25 17:53:13,590 INFO    MainThread:38910 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-25 17:53:13,590 INFO    MainThread:38910 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-25 17:53:13,591 INFO    MainThread:38910 [wandb_init.py:init():831] run started, returning control to user process
2023-03-25 17:56:05,384 WARNING MsgRouterThr:38910 [router.py:message_loop():77] message_loop has been closed
