2023-03-27 19:37:13,477 INFO    MainThread:114949 [wandb_setup.py:_flush():76] Configure stats pid to 114949
2023-03-27 19:37:13,478 INFO    MainThread:114949 [wandb_setup.py:_flush():76] Loading settings from /home/chengh-wang/.config/wandb/settings
2023-03-27 19:37:13,478 INFO    MainThread:114949 [wandb_setup.py:_flush():76] Loading settings from /home/chengh-wang/Documents/git/BBQ/RPP/RL/wandb/settings
2023-03-27 19:37:13,478 INFO    MainThread:114949 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-27 19:37:13,478 INFO    MainThread:114949 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-27 19:37:13,478 INFO    MainThread:114949 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'RPP/RL/train.py', 'program': '/home/chengh-wang/Documents/git/BBQ/RPP/RL/train.py'}
2023-03-27 19:37:13,478 INFO    MainThread:114949 [wandb_init.py:_log_setup():506] Logging user logs to /home/chengh-wang/Documents/git/BBQ/RPP/RL/wandb/run-20230327_193713-0l6evndk/logs/debug.log
2023-03-27 19:37:13,479 INFO    MainThread:114949 [wandb_init.py:_log_setup():507] Logging internal logs to /home/chengh-wang/Documents/git/BBQ/RPP/RL/wandb/run-20230327_193713-0l6evndk/logs/debug-internal.log
2023-03-27 19:37:13,479 INFO    MainThread:114949 [wandb_init.py:init():546] calling init triggers
2023-03-27 19:37:13,479 INFO    MainThread:114949 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-27 19:37:13,479 INFO    MainThread:114949 [wandb_init.py:init():602] starting backend
2023-03-27 19:37:13,479 INFO    MainThread:114949 [wandb_init.py:init():606] setting up manager
2023-03-27 19:37:13,489 INFO    MainThread:114949 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-27 19:37:13,494 INFO    MainThread:114949 [wandb_init.py:init():613] backend started and connected
2023-03-27 19:37:13,502 INFO    MainThread:114949 [wandb_init.py:init():701] updated telemetry
2023-03-27 19:37:13,529 INFO    MainThread:114949 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-27 19:37:14,114 INFO    MainThread:114949 [wandb_run.py:_on_init():2133] communicating current version
2023-03-27 19:37:14,185 INFO    MainThread:114949 [wandb_run.py:_on_init():2142] got version response 
2023-03-27 19:37:14,185 INFO    MainThread:114949 [wandb_init.py:init():789] starting run threads in backend
2023-03-27 19:37:18,011 INFO    MainThread:114949 [wandb_run.py:_console_start():2114] atexit reg
2023-03-27 19:37:18,011 INFO    MainThread:114949 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-27 19:37:18,012 INFO    MainThread:114949 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-27 19:37:18,012 INFO    MainThread:114949 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-27 19:37:18,012 INFO    MainThread:114949 [wandb_init.py:init():831] run started, returning control to user process
2023-03-27 19:42:20,172 WARNING MsgRouterThr:114949 [router.py:message_loop():77] message_loop has been closed
